Full VQE parameter scan: N=8, 30x30
  time FM: 1.9527s | E = -8.000025
  time AP: 0.1769s | E = +0.000000
  time PM: 0.9323s | E = -4.000007
  time FM: 0.8318s | E = -8.000020
  time AP: 0.1125s | E = +0.000000
  time PM: 0.7129s | E = -4.000013
  time FM: 0.6929s | E = -8.000015
  time AP: 0.0905s | E = -8.009331
  time PM: 1.4023s | E = -0.551724
  time FM: 2.9697s | E = -8.000019
  time AP: 0.1792s | E = -8.009331
  time PM: 1.1968s | E = -0.551710
  time FM: 1.2795s | E = -8.000015
  time AP: 0.0968s | E = -8.037873
  time PM: 1.0431s | E = -1.103443
  time FM: 1.0831s | E = -8.000016
  time AP: 0.7674s | E = -8.037873
  time PM: 1.9037s | E = -1.103427
  time FM: 0.8556s | E = -8.000017
  time AP: 0.0998s | E = -8.085387
  time PM: 0.6924s | E = -1.655175
  time FM: 0.7143s | E = -8.000019
  time AP: 0.0701s | E = -8.085387
  time PM: 0.6475s | E = -1.655167
  time FM: 0.6850s | E = -8.000017
  time AP: 0.1013s | E = -8.151131
  time PM: 0.7288s | E = -2.206893
  time FM: 0.6747s | E = -8.000009
  time AP: 0.0746s | E = -8.151131
  time PM: 0.7144s | E = -2.206900
  time FM: 0.6535s | E = -8.000015
  time AP: 0.0736s | E = -8.237062
  time PM: 1.1159s | E = -2.758604
  time FM: 4.6366s | E = -8.000013
  time AP: 0.1409s | E = -8.237062
  time PM: 1.1575s | E = -2.758617
  time FM: 3.1269s | E = -8.000014
  time AP: 0.1667s | E = -8.341796
  time PM: 1.1086s | E = -3.310343
  time FM: 0.9690s | E = -8.000020
  time AP: 0.1184s | E = -8.341796
  time PM: 2.7876s | E = -3.310345
  time FM: 0.7179s | E = -8.000027
  time AP: 0.0902s | E = -8.460008
  time PM: 0.7457s | E = -3.862066
  time FM: 0.7230s | E = -8.000019
  time AP: 0.0719s | E = -8.460008
  time PM: 0.6343s | E = -3.862072
  time FM: 0.6908s | E = -8.000017
  time AP: 0.0743s | E = -8.608096
  time PM: 0.6549s | E = -4.413813
  time FM: 0.6956s | E = -8.000015
  time AP: 0.0721s | E = -8.608096
  time PM: 0.6544s | E = -4.413802
  time FM: 0.6716s | E = -8.000015
  time AP: 0.0777s | E = -8.769304
  time PM: 0.6776s | E = -4.965503
  time FM: 0.7891s | E = -8.000021
  time AP: 0.0917s | E = -8.769304
  time PM: 0.6977s | E = -4.965539
  time FM: 0.6892s | E = -8.000008
  time AP: 0.0712s | E = -8.950977
  time PM: 0.7195s | E = -5.517247
  time FM: 0.6701s | E = -8.000014
  time AP: 0.0732s | E = -8.950977
  time PM: 0.9722s | E = -5.517256
  time FM: 0.8391s | E = -8.000017
  time AP: 0.1071s | E = -9.150606
  time PM: 0.6783s | E = -6.068967
  time FM: 0.6631s | E = -8.000009
  time AP: 0.0684s | E = -9.150606
  time PM: 0.7246s | E = -6.068964
  time FM: 0.6840s | E = -8.000011
  time AP: 0.0707s | E = -9.366260
  time PM: 0.8937s | E = -6.620721
  time FM: 0.6929s | E = -8.000020
  time AP: 0.0719s | E = -9.366260
  time PM: 0.6858s | E = -6.620703
  time FM: 0.8183s | E = -8.000017
  time AP: 0.1830s | E = -9.606814
  time PM: 0.9447s | E = -7.172459
  time FM: 2.2595s | E = -8.000026
  time AP: 0.1510s | E = -9.606814
